,epoch,learning_rate,max_depth,n_estimators,reg_alpha,reg_lambda,score
4,4,0.17860079822658,7,100,1.0536837939569337e-10,0.04998227922181698,0.7005474
9,9,0.17991869595203772,14,98,0.0006163092124979149,0.0017301057805572005,0.7197937999999999
3,3,0.2597935244714405,10,100,8.863368621967207e-05,0.00032685709172085845,0.7345734
7,7,0.11001190359506725,5,100,4.462066433363613e-05,4.834012602753815e-06,0.750065
5,5,0.2830441560755724,12,82,0.002788180138044842,1.1436939354192065e-07,0.7615540000000001
8,8,0.36302097622379814,11,87,0.5607926617109255,0.00011022796742665945,0.7865872
0,0,0.350029279888212,5,100,0.0002214152426669688,3.285315935275386e-08,0.794532
1,1,0.43332916095828267,8,100,1.125908007877896,0.001572133357700015,0.9975356000000002
2,2,0.487686997193737,10,1,2.0836123096589892e-10,0.0014117298239948886,1.4403621999999998
6,6,0.47791309876418253,5,1,1.062784743832488e-09,0.004537991718847005,1.5647464
